ax,low-pass,high-pass
0.004395,0.000036,0.000396
-0.001221,-0.000010,-0.000470
0.000977,0.000037,0.000515
-0.000732,-0.000014,-0.000535
-0.000732,0.000025,0.000421
0.006348,0.000040,0.000188
-0.002197,0.000003,-0.000369
-0.000732,0.000027,0.000270
0.000977,0.000010,-0.000158
-0.000977,0.000014,0.000056
-0.000244,0.000007,-0.000073
-0.000977,0.000004,-0.000022
0.006104,0.000055,0.000569
0.001709,0.000017,-0.000364
0.010742,0.000132,0.001298
-0.002197,-0.000004,-0.001379
0.001953,0.000126,0.001431
-0.002930,-0.000027,-0.001566
-0.009277,0.000029,0.000590
-0.008301,-0.000089,-0.001284
0.007324,0.000083,0.001827
0.004395,-0.000038,-0.001267
0.000244,0.000071,0.001175
0.002441,-0.000012,-0.000850
-0.006104,0.000009,0.000224
-0.001953,-0.000026,-0.000380
0.005615,0.000053,0.000851
-0.002930,-0.000045,-0.001038
0.001953,0.000060,0.001120
0.002686,-0.000016,-0.000778
-0.000488,0.000046,0.000664
-0.001221,-0.000023,-0.000714
-0.000488,0.000034,0.000606
0.004150,0.000015,-0.000178
0.004639,0.000066,0.000579
0.000000,0.000012,-0.000527
-0.003174,0.000029,0.000194
0.002197,0.000028,0.000021
0.001953,0.000039,0.000156
-0.001953,0.000007,-0.000318
0.001709,0.000047,0.000443
-0.001709,-0.000008,-0.000557
0.002686,0.000060,0.000749
-0.002686,-0.000028,-0.000923
0.008789,0.000121,0.001631
0.001709,-0.000010,-0.001330
0.000488,0.000104,0.001255
-0.002197,-0.000026,-0.001339
-0.004639,0.000049,0.000801
0.000488,-0.000017,-0.000685
0.002197,0.000058,0.000821
0.000488,-0.000010,-0.000704
-0.000244,0.000046,0.000618
-0.004883,-0.000048,-0.001002
0.000977,0.000046,0.001000
0.006592,0.000014,-0.000317
0.003174,0.000064,0.000574
-0.004639,-0.000026,-0.000940
0.003662,0.000083,0.001185
0.000488,-0.000018,-0.001034
-0.003418,0.000041,0.000633
0.000732,-0.000009,-0.000510
0.002686,0.000055,0.000706
0.011475,0.000086,0.000390
-0.004150,0.000012,-0.000729
0.005615,0.000116,0.001168
0.006592,0.000064,-0.000470
-0.001953,0.000081,0.000252
0.005615,0.000098,0.000276
-0.001465,0.000055,-0.000383
-0.001953,0.000065,0.000173
0.002930,0.000069,0.000106
0.001465,0.000066,0.000035
0.007568,0.000119,0.000649
0.002441,0.000074,-0.000371
0.001221,0.000108,0.000448
-0.166748,-0.001289,-0.015415
0.024902,0.000291,0.016268
0.087402,-0.000359,-0.006938
-0.045166,-0.000125,0.002249
-0.030518,-0.000545,-0.004793
-0.000244,-0.000105,0.004340
-0.051025,-0.000864,-0.008541
-0.070801,-0.000661,0.001401
0.006104,-0.000666,-0.000725
0.004883,-0.000508,0.001099
-0.069824,-0.001117,-0.007285
-0.130615,-0.001478,-0.005126
-0.127686,-0.001960,-0.006827
-0.231201,-0.003097,-0.014596
-0.312256,-0.004152,-0.014821
-0.307861,-0.005058,-0.014221
-0.551514,-0.007906,-0.036696
-0.222168,-0.005988,0.013398
