ax,low-pass,high-pass
0.013184,0.001187,0.000107
0.010498,0.002025,0.000085
0.012695,0.002985,0.000191
0.019775,0.004496,0.000231
-0.001221,0.003982,0.000148
0.012695,0.004766,0.000294
-0.001221,0.004227,0.000113
0.009521,0.004704,0.000320
0.008057,0.005005,0.000159
0.011963,0.005631,0.000362
0.006836,0.005740,0.000187
0.011963,0.006300,0.000397
0.012695,0.006876,0.000258
0.003174,0.006542,0.000354
0.002197,0.006151,0.000231
0.010986,0.006586,0.000382
0.013184,0.007180,0.000298
0.003418,0.006842,0.000344
0.010742,0.007193,0.000334
0.002686,0.006787,0.000307
0.013916,0.007429,0.000389
0.011963,0.007837,0.000351
0.002441,0.007351,0.000342
0.005371,0.007173,0.000334
0.005615,0.007033,0.000329
0.004639,0.006817,0.000314
0.000000,0.006204,0.000272
0.001953,0.005821,0.000276
0.012451,0.006418,0.000326
0.012939,0.007005,0.000333
0.004639,0.006792,0.000308
0.007080,0.006818,0.000333
0.011719,0.007259,0.000350
0.006348,0.007177,0.000328
0.008057,0.007256,0.000355
0.000244,0.006625,0.000273
0.002930,0.006292,0.000318
0.014404,0.007022,0.000343
-0.002441,0.006171,0.000243
0.006348,0.006187,0.000335
0.007813,0.006333,0.000265
0.009521,0.006620,0.000355
0.003174,0.006310,0.000245
0.010986,0.006731,0.000383
0.006836,0.006740,0.000258
0.004639,0.006551,0.000355
-0.001465,0.005830,0.000202
0.001465,0.005437,0.000306
0.012695,0.006090,0.000270
-0.000977,0.005454,0.000245
0.003906,0.005315,0.000255
0.001465,0.004968,0.000215
0.001953,0.004697,0.000227
0.012695,0.005417,0.000281
0.000977,0.005017,0.000196
0.011963,0.005642,0.000329
0.008057,0.005860,0.000228
0.005615,0.005838,0.000318
0.012451,0.006433,0.000289
0.003662,0.006183,0.000293
0.012207,0.006726,0.000338
0.000000,0.006120,0.000243
0.008789,0.006360,0.000351
0.008545,0.006557,0.000270
0.001465,0.006099,0.000303
0.000000,0.005550,0.000224
0.012939,0.006215,0.000356
0.004639,0.006073,0.000223
0.020020,0.007328,0.000457
0.007080,0.007306,0.000242
0.006104,0.007198,0.000428
0.003662,0.006879,0.000230
0.004150,0.006634,0.000388
0.007080,0.006674,0.000248
0.000732,0.006139,0.000327
0.012451,0.006707,0.000306
0.010498,0.007049,0.000356
0.010010,0.007315,0.000335
0.008057,0.007382,0.000360
0.004395,0.007113,0.000313
0.010498,0.007418,0.000383
0.003906,0.007102,0.000291
0.007324,0.007122,0.000377
0.007568,0.007162,0.000302
0.006104,0.007067,0.000361
0.003174,0.006716,0.000276
0.010742,0.007079,0.000386
0.002441,0.006661,0.000248
0.005127,0.006523,0.000361
0.004639,0.006354,0.000243
0.005127,0.006243,0.000341
0.007080,0.006318,0.000259
0.008789,0.006541,0.000353
0.002686,0.006194,0.000236
0.008057,0.006361,0.000358
0.005615,0.006294,0.000241
0.006836,0.006343,0.000352
0.015869,0.007200,0.000328
0.007080,0.007190,0.000349
0.008057,0.007268,0.000337
0.005859,0.007141,0.000336
0.004150,0.006872,0.000313
0.003174,0.006539,0.000304
0.013184,0.007137,0.000366
0.013428,0.007703,0.000361
0.011719,0.008065,0.000398
0.010010,0.008240,0.000380
0.003906,0.007850,0.000361
0.001221,0.007253,0.000324
0.011475,0.007633,0.000392
0.014893,0.008286,0.000389
0.005859,0.008068,0.000372
-0.000244,0.007320,0.000320
0.003174,0.006947,0.000334
0.013428,0.007530,0.000374
0.009277,0.007687,0.000352
0.006836,0.007611,0.000365
0.003174,0.007211,0.000317
0.007080,0.007199,0.000360
0.000732,0.006617,0.000268
0.009521,0.006879,0.000375
0.008789,0.007051,0.000293
0.005615,0.006922,0.000356
0.008545,0.007068,0.000312
0.001709,0.006585,0.000309
0.010254,0.006916,0.000342
0.013672,0.007524,0.000366
0.006104,0.007396,0.000332
0.008301,0.007477,0.000371
0.002686,0.007046,0.000297
0.006836,0.007027,0.000362
0.009766,0.007274,0.000325
0.012939,0.007783,0.000405
