t;x;y;z
0.01;0.00;0.00;0.00
0.02;-0.01;0.00;0.10
0.03;-0.01;0.00;0.19
0.04;-0.02;0.01;0.28
0.05;-0.02;0.01;0.35
0.06;-0.03;0.02;0.41
0.07;-0.03;0.02;0.48
0.08;-0.03;0.03;0.53
0.09;-0.03;0.03;0.57
0.10;-0.03;0.04;0.61
0.11;-0.02;0.04;0.64
0.12;-0.02;0.04;0.68
0.13;-0.01;0.04;0.72
0.14;-0.00;0.04;0.75
0.15;-0.01;0.04;0.78
0.16;-0.01;0.05;0.79
0.17;-0.01;0.05;0.83
0.18;-0.01;0.05;0.87
0.19;-0.01;0.04;0.90
0.20;-0.02;0.04;0.93
0.21;-0.01;0.03;0.95
0.22;-0.01;0.01;0.98
0.23;-0.01;0.00;1.01
0.24;-0.02;-0.01;1.04
0.25;-0.03;-0.02;1.06
0.26;-0.04;-0.03;1.09
0.27;-0.05;-0.04;1.11
0.28;-0.07;-0.05;1.12
0.29;-0.07;-0.07;1.13
0.30;-0.08;-0.08;1.14
0.31;-0.08;-0.10;1.13
0.32;-0.08;-0.12;1.13
0.33;-0.08;-0.13;1.12
0.34;-0.07;-0.14;1.10
0.35;-0.07;-0.15;1.07
0.36;-0.06;-0.15;1.06
0.37;-0.05;-0.15;1.03
0.38;-0.04;-0.14;1.00
0.39;-0.04;-0.13;0.96
0.40;-0.04;-0.10;0.94
0.41;-0.04;-0.08;0.94
0.42;-0.05;-0.05;0.95
0.43;-0.05;-0.02;0.95
0.44;-0.07;0.00;0.96
0.45;-0.07;0.03;0.98
0.46;-0.09;0.05;1.00
0.47;-0.12;0.07;1.03
0.48;-0.15;0.09;1.08
0.49;-0.16;0.10;1.12
0.50;-0.19;0.12;1.16
0.51;-0.21;0.13;1.18
0.52;-0.22;0.15;1.21
0.53;-0.24;0.16;1.22
0.54;-0.26;0.18;1.22
0.55;-0.27;0.19;1.22
0.56;-0.28;0.20;1.22
0.57;-0.28;0.21;1.20
0.58;-0.27;0.21;1.17
0.59;-0.26;0.20;1.15
0.60;-0.24;0.20;1.12
0.61;-0.22;0.19;1.09
0.62;-0.19;0.18;1.04
0.63;-0.18;0.17;1.01
0.64;-0.16;0.15;0.98
0.65;-0.13;0.13;0.95
0.66;-0.10;0.10;0.92
0.67;-0.05;0.08;0.89
0.68;-0.02;0.05;0.89
0.69;0.03;0.03;0.89
0.70;0.07;0.02;0.91
0.71;0.10;0.00;0.94
0.72;0.15;-0.01;0.97
0.73;0.18;-0.03;0.95
0.74;0.19;-0.04;1.00
0.75;0.20;-0.05;1.00
0.76;0.19;-0.06;1.02
0.77;0.19;-0.07;1.06
0.78;0.18;-0.07;1.10
0.79;0.17;-0.07;1.14
0.80;0.16;-0.08;1.17
0.81;0.15;-0.08;1.20
0.82;0.13;-0.10;1.24
0.83;0.12;-0.10;1.25
0.84;0.10;-0.12;1.24
0.85;0.07;-0.14;1.21
0.86;0.03;-0.15;1.18
0.87;0.01;-0.16;1.16
0.88;-0.01;-0.17;1.13
0.89;-0.03;-0.18;1.10
0.90;-0.04;-0.18;1.05
0.91;-0.05;-0.18;1.02
0.92;-0.07;-0.17;1.01
0.93;-0.08;-0.16;1.00
0.94;-0.08;-0.15;0.97
0.95;-0.08;-0.14;0.95
0.96;-0.08;-0.13;0.98
0.97;-0.08;-0.11;1.00
0.98;-0.07;-0.09;1.00
0.99;-0.07;-0.07;1.01
1.00;-0.06;-0.05;1.02
1.01;-0.05;-0.03;1.05
1.02;-0.04;0.00;1.06
1.03;-0.04;0.03;1.06
1.04;-0.04;0.06;1.07
1.05;-0.05;0.09;1.11
1.06;-0.04;0.12;1.15
1.07;-0.03;0.14;1.17
1.08;-0.02;0.16;1.19
1.09;-0.01;0.18;1.22
1.10;-0.01;0.20;1.25
1.11;-0.00;0.21;1.28
1.12;0.01;0.24;1.32
1.13;-0.00;0.25;1.33
1.14;0.00;0.25;1.32
1.15;0.02;0.25;1.32
1.16;0.03;0.24;1.30
1.17;0.05;0.22;1.27
1.18;0.08;0.21;1.27
1.19;0.09;0.20;1.26
1.20;0.11;0.19;1.18
1.21;0.13;0.16;1.11
1.22;0.16;0.13;1.05
1.23;0.17;0.10;0.97
1.24;0.19;0.07;0.85
1.25;0.21;0.01;0.74
1.26;0.23;-0.03;0.65
