ax,ay,az,gx,gy,gz
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.036377,0.006348,-0.924805,29.687023,28.847328,38.053436
-0.040283,0.012207,-0.932129,-5.061069,-0.137405,-0.603053
-0.044678,0.005859,-0.935059,-4.274809,-3.160305,0.068702
-0.035156,0.021973,-0.954834,-4.282443,-2.221374,1.000000
-0.040527,0.009766,-0.953125,-3.732824,-1.007634,0.816794
-0.042969,0.003662,-0.931396,-3.541985,-0.137405,-0.198473
-0.045166,0.015137,-0.937744,-4.877862,-0.450382,0.236641
-0.049072,0.004395,-0.938232,-3.954198,-0.770992,-0.244275
-0.038574,0.013184,-0.961670,-4.564886,1.167939,-0.305344
-0.049561,0.010498,-0.934570,-4.954198,1.267176,-0.152672
-0.047363,-0.000977,-0.940918,-2.396947,0.870229,-0.374046
-0.037842,0.019531,-0.938477,-3.198473,0.977099,-0.061069
-0.047363,0.011230,-0.926270,-5.656488,-1.000000,0.832061
-0.038818,-0.004639,-0.953125,-3.129771,-1.885496,1.610687
-0.044434,0.006104,-0.960938,0.778626,1.603053,1.396947
-0.041016,0.025635,-0.957764,-3.931298,2.213740,1.274809
-0.051270,-0.004883,-0.924805,-6.618320,0.916031,1.908397
-0.047363,-0.010010,-0.936279,-3.656489,-1.061069,0.847328
-0.046387,0.006348,-0.941650,-3.793893,-0.572519,0.763359
-0.043213,0.001953,-0.949219,-5.610687,0.351145,1.358779
-0.046387,-0.028320,-0.922363,-3.488550,3.618321,2.511450
-0.051270,0.001709,-0.940430,-2.870229,0.625954,1.916031
-0.036133,0.002686,-0.941406,-7.015267,1.877863,2.656489
-0.037842,-0.031250,-0.916504,-7.068702,4.488550,4.740458
-0.063721,-0.009521,-0.918945,-0.679389,3.175573,4.259542
-0.029541,0.044922,-0.968750,-0.931298,-0.244275,1.427481
-0.031738,0.013428,-0.957031,-5.167939,1.870229,2.190840
-0.049805,-0.008057,-0.939697,-2.015267,1.267176,1.832061
-0.041260,0.017578,-0.950684,-0.763359,0.839695,1.267176
-0.034180,0.011475,-0.951660,-4.954198,1.259542,2.083969
-0.046143,-0.006104,-0.934570,-3.167939,1.587786,-0.702290
-0.043945,-0.005615,-0.936279,-1.916031,2.007634,-2.374046
-0.041260,-0.016602,-0.956543,-4.977099,3.549618,-2.129771
-0.050537,-0.031738,-0.955078,-7.648855,1.557252,-0.938931
-0.041504,-0.038574,-0.935303,-2.954198,1.091603,-1.587786
-0.017578,-0.000488,-0.959473,-0.717557,-0.435115,-2.557252
-0.025635,-0.006592,-0.924561,-6.770992,1.641221,-1.633588
-0.026855,-0.044434,-0.930908,-6.816794,4.694656,1.114504
-0.043701,-0.016846,-0.947754,-0.557252,3.557252,-0.633588
-0.033447,0.016602,-0.975586,-3.282443,3.671756,-2.603053
-0.030029,-0.009033,-0.927979,-7.396946,3.648855,-3.045802
-0.043701,-0.005859,-0.940430,-3.763359,0.450382,-3.137405
-0.022949,-0.007324,-0.948486,-1.610687,-0.847328,-2.396947
-0.023926,0.018799,-0.938965,-5.412214,0.503817,-0.129771
-0.035156,-0.005371,-0.931152,-8.122137,0.664122,1.389313
-0.032715,-0.012451,-0.964111,-5.977099,1.984733,3.328244
-0.028076,-0.017334,-0.946777,-0.641221,1.534351,2.717557
-0.023682,-0.011963,-0.941650,-1.541985,3.099237,2.137405
-0.038574,0.000977,-0.935791,-6.183206,3.267176,1.625954
-0.033203,-0.014160,-0.948242,-7.717557,3.793893,1.305344
-0.024902,-0.029053,-0.929932,-5.267176,1.480916,-0.290076
-0.029297,-0.007324,-0.920898,-7.641222,-0.320611,-1.122137
-0.038086,-0.008301,-0.948975,-8.641221,-0.625954,-1.412214
-0.029785,0.001221,-0.936523,-6.450382,-1.396947,-1.946565
-0.023193,-0.014893,-0.933105,-3.572519,1.511450,0.320611
-0.008057,-0.016357,-0.934326,-4.656488,-2.908397,-1.259542
-0.028320,-0.002441,-0.948242,-8.664123,-1.740458,-1.503817
-0.031494,-0.020020,-0.957275,-9.832061,3.740458,0.213740
-0.031006,-0.009521,-0.974609,-4.305344,0.366412,-2.198473
-0.034668,0.014648,-0.927979,-1.083969,-0.328244,-2.305344
-0.036865,0.004883,-0.939697,-4.748092,-0.496183,0.580153
-0.031006,-0.018799,-0.949951,-4.732824,-1.977099,1.435115
-0.025879,-0.018311,-0.971680,-4.862596,1.541985,2.083969
-0.035400,-0.018311,-0.938721,-4.496183,3.770992,0.190840
-0.037598,-0.016602,-0.944824,-1.908397,1.282443,-1.870229
-0.026123,-0.020752,-0.933594,-2.122137,0.022901,-2.549618
-0.030762,-0.009277,-0.928223,-4.366412,-1.030534,-2.167939
-0.040771,0.003418,-0.955078,-7.320611,-0.045802,-0.946565
-0.026367,-0.039307,-0.947266,-6.595420,-1.748092,1.916031
-0.030029,-0.011719,-0.965088,-0.290076,-0.740458,0.885496
-0.037354,0.031494,-0.956055,-1.702290,1.267176,0.557252
-0.027100,-0.007080,-0.943604,-5.053435,2.435115,2.389313
-0.041992,0.007080,-0.931152,-4.717557,-2.793893,-2.129771
-0.022217,-0.029541,-0.930176,-5.335878,0.328244,-1.526718
-0.042969,-0.039063,-0.939209,-4.770992,0.503817,-1.564885
-0.051025,-0.011963,-0.911865,-5.000000,-3.328244,-3.343511
-0.026367,-0.000244,-0.950684,-8.549619,-3.961832,-2.778626
0.002197,-0.045898,-0.955566,-6.145038,0.572519,-
-0.040283,-0.052002,-0.986084,-0.358779,1.519084,-2.793893
-0.039063,-0.013184,-0.949219,1.809160,1.152672,-4.778626
-0.035645,-0.008057,-0.916260,-4.961832,1.137405,-3.091603
-0.035156,-0.007813,-0.925781,-9.572519,-2.122137,-1.213740
-0.036865,-0.018066,-0.949219,-8.664123,-3.167939,-0.656489
-0.030762,-0.010254,-0.978271,-6.083970,2.145038,-0.206107
-0.043213,-0.026611,-0.946045,-3.541985,1.748092,0.404580
-0.047852,-0.033203,-0.951172,0.328244,3.091603,-2.839695
-0.033203,-0.042236,-0.941650,-3.862595,2.900763,-2.908397
-0.038330,-0.011230,-0.926025,-6.198473,2.083969,-2.541985
-0.031006,-0.015381,-0.944824,-5.541985,0.946565,-1.389313
-0.032715,-0.009033,-0.935547,-4.702290,0.114504,0.374046
-0.029541,-0.011230,-0.943604,-4.809160,-1.251908,2.061069
-0.041748,-0.024414,-0.963379,-4.938931,0.572519,1.725191
-0.032959,-0.027344,-0.936523,-5.221374,1.351145,0.824427
-0.035645,-0.031494,-0.942383,-3.763359,2.038168,0.175573
-0.038330,-0.027832,-0.921143,-1.572519,0.732824,-0.908397
-0.029297,-0.008545,-0.945313,-5.122138,0.916031,-0.358779
-0.038574,-0.020264,-0.944336,-7.877862,1.007634,1.091603
-0.034180,-0.027344,-0.940918,-5.335878,-0.038168,0.305344
-0.034424,-0.031250,-0.953369,-2.236641,-0.900763,-0.183206
-0.023193,-0.017578,-0.980469,-3.832061,1.435115,0.717557
-0.035889,-0.019287,-0.915039,-7.381680,1.824427,1.549618
-0.039307,-0.030273,-0.955811,-5.763359,0.824427,0.503817
-0.032227,-0.024658,-0.950928,-3.977099,1.320611,-0.442748
-0.033447,-0.027100,-0.947754,-4.977099,2.778626,-0.419847
-0.037598,-0.023438,-0.922607,-3.984733,1.190840,0.053435
-0.032227,-0.016846,-0.934814,-4.236641,1.000000,0.488550
-0.034180,-0.021973,-0.934082,-5.717557,-0.374046,0.572519
-0.038818,-0.020996,-0.942383,-7.083970,0.763359,0.832061
-0.028076,-0.021484,-0.968750,-5.557252,1.656489,0.854962
-0.031250,-0.030762,-0.937012,-2.358779,2.351145,0.274809
-0.029297,-0.018066,-0.941162,-2.496183,1.541985,-0.419847
-0.034424,-0.021484,-0.925293,-6.129771,-0.305344,0.267176
-0.035400,-0.027832,-0.957520,-6.732824,0.786260,0.480916
-0.026123,-0.025146,-0.933350,-5.916030,-0.244275,0.458015
-0.027832,-0.033447,-0.950928,-4.351145,-0.870229,0.000000
-0.036621,-0.022949,-0.929443,-5.335878,1.786260,-0.442748
-0.032715,-0.024658,-0.936279,-5.847328,0.839695,0.145038
-0.034424,-0.021484,-0.946777,-5.175572,0.000000,0.328244
-0.036133,-0.027344,-0.934570,-4.152672,-0.778626,0.541985
