ax,ay,az,gx,gy,gz
0.029541,0.015869,1.117676,-4.824428,0.480916,-0.167939
0.038818,0.019775,1.104248,-4.938931,0.435115,-0.007634
0.031982,0.023438,1.105469,-5.000000,0.412214,0.007634
0.033936,0.018555,1.104736,-4.793893,0.458015,-0.145038
0.031006,0.027832,1.110840,-4.816794,0.244275,-0.030534
0.033691,0.022949,1.110840,-4.755725,0.152672,0.030534
0.041992,0.021729,1.086426,-4.648855,0.221374,-0.099237
0.033447,0.013428,1.111084,-4.572519,0.358779,0.198473
0.034180,0.026367,1.113525,-4.946565,0.534351,0.152672
0.047852,0.022217,1.122559,-4.221374,0.061069,-0.091603
0.015381,0.021484,1.093018,-5.076336,-0.091603,-0.076336
0.041504,0.010010,1.109863,-4.290076,0.587786,0.045802
0.060791,0.044189,1.144775,-5.931298,1.045802,0.068702
0.031250,0.024170,1.060547,-5.282443,0.679389,0.030534
0.033691,0.017090,1.147217,-4.435114,0.832061,-0.091603
0.028076,0.017090,1.089844,-5.358778,0.450382,-0.068702
0.025879,0.020264,1.091064,-5.000000,0.351145,0.030534
0.036133,0.019531,1.112549,-4.748092,0.351145,0.015267
0.032227,0.031982,1.067627,-5.251908,0.809160,-0.022901
0.031250,0.012695,1.123291,-4.633588,0.702290,-0.213740
0.039063,0.022461,1.113525,-4.961832,0.793893,-0.038168
0.031250,0.020752,1.096436,-5.030534,0.786260,0.045802
0.027832,0.018799,1.102783,-4.954198,0.572519,-0.091603
0.038574,0.015137,1.108154,-4.916030,0.809160,-0.251908
0.034424,0.017090,1.107178,-4.870229,0.625954,0.053435
0.036621,0.021729,1.112793,-4.786260,0.465649,0.053435
0.032471,0.019287,1.110352,-4.885496,0.717557,-0.091603
0.037354,0.020996,1.117188,-4.793893,0.770992,-0.145038
0.029541,0.020264,1.103760,-4.908397,0.633588,-0.083969
0.032959,0.021240,1.109863,-4.854962,0.511450,0.061069
0.030518,0.019287,1.106689,-4.862596,0.816794,-0.007634
0.031494,0.015625,1.112549,-4.824428,0.526718,0.045802
0.036377,0.023682,1.100342,-4.885496,0.679389,0.045802
0.032471,0.023926,1.110107,-4.908397,0.664122,0.007634
0.038330,0.016602,1.112061,-4.870229,0.572519,0.045802
0.039307,0.026611,1.103760,-4.847328,0.618321,-0.099237
0.025879,0.014648,1.108398,-4.923664,0.625954,0.015267
0.041748,0.024658,1.108398,-4.916030,0.725191,0.122137
0.027100,0.020264,1.107666,-4.839694,0.656489,0.007634
0.033203,0.012207,1.101563,-4.938931,0.587786,0.061069
0.032715,0.019043,1.111816,-4.839694,0.519084,-0.083969
0.031738,0.021729,1.105957,-4.923664,0.625954,-0.068702
0.030762,0.018555,1.110596,-4.740458,0.496183,-0.038168
0.036865,0.019775,1.115479,-4.854962,0.549618,0.068702
0.036377,0.014648,1.108154,-4.870229,0.465649,0.160305
0.029541,0.017578,1.106201,-4.854962,0.732824,-0.038168
0.033936,0.016357,1.107910,-4.816794,0.618321,0.015267
0.037354,0.015625,1.105713,-4.877862,0.595420,-0.022901
0.025391,0.018066,1.114258,-4.755725,0.656489,-0.022901
0.033203,0.018311,1.107910,-4.778626,0.809160,-0.145038
0.034180,0.020752,1.112305,-4.938931,0.671756,0.000000
0.031738,0.017578,1.101563,-5.007634,0.603053,0.022901
0.035889,0.021240,1.100830,-4.664122,0.587786,-0.076336
0.034424,0.016846,1.109131,-4.862596,0.427481,0.000000
0.031982,0.021729,1.107666,-5.030534,0.763359,-0.053435
0.037109,0.017334,1.107422,-4.854962,0.633588,-0.030534
0.032715,0.017090,1.112305,-4.908397,0.511450,-0.053435
0.029541,0.017090,1.101074,-4.893130,0.549618,-0.030534
0.040283,0.017090,1.109619,-4.709924,0.610687,0.083969
0.031006,0.020508,1.104492,-4.740458,0.809160,0.076336
0.030273,0.016357,1.104736,-4.656488,0.763359,0.106870
0.040283,0.019043,1.103516,-4.862596,0.549618,0.007634
0.031494,0.020264,1.109619,-5.022901,0.725191,0.061069
0.030029,0.020020,1.105957,-4.816794,0.488550,0.030534
0.031982,0.016113,1.108887,-5.007634,0.541985,0.022901
0.039063,0.018799,1.111084,-4.801527,0.717557,0.038168
0.026855,0.015869,1.103027,-4.709924,0.557252,0.038168
0.031006,0.018311,1.105469,-4.900764,0.572519,-0.030534
0.031738,0.021729,1.104980,-4.984733,0.610687,0.053435
0.033203,0.024902,1.112061,-4.984733,0.633588,0.015267
0.031738,0.017090,1.110840,-4.748092,0.725191,-0.007634
0.035645,0.020508,1.107178,-4.992366,0.549618,0.099237
0.038574,0.017090,1.110107,-4.946565,0.534351,0.045802
0.036377,0.022461,1.110107,-4.847328,0.351145,0.045802
0.033203,0.016357,1.104980,-4.694656,0.480916,-0.015267
0.033447,0.015137,1.105225,-4.916030,0.732824,0.152672
0.034424,0.013916,1.107910,-4.862596,0.610687,-0.068702
0.034668,0.017578,1.114014,-4.824428,0.763359,0.061069
0.037598,0.022217,1.104248,-4.877862,0.595420,-0.099237
0.032715,0.011475,1.110840,-4.854962,0.610687,0.007634
0.040527,0.018799,1.109863,-4.946565,0.717557,0.038168
0.030273,0.020996,1.109863,-4.740458,0.557252,0.129771
0.029053,0.019531,1.110840,-4.916030,0.717557,0.099237
0.028320,0.013672,1.101807,-4.748092,0.511450,0.083969
0.039795,0.022949,1.104248,-4.832061,0.656489,-0.038168
0.034180,0.018066,1.107666,-4.862596,0.519084,0.045802
0.031006,0.013916,1.111084,-4.854962,0.839695,0.007634
0.034180,0.015137,1.105469,-4.832061,0.748092,-0.068702
0.032715,0.019775,1.111084,-4.954198,0.610687,0.083969
0.033936,0.021484,1.105469,-4.862596,0.679389,-0.061069
0.034424,0.020508,1.104004,-4.961832,0.618321,0.068702
0.032471,0.022705,1.111328,-4.786260,0.648855,0.137405
