ax,low-pass,high-pass
-0.291016,-0.013844,-0.013466
-0.298584,-0.002419,-0.026873
-0.278320,-0.002254,-0.000595
-0.292236,-0.004370,-0.025760
-0.298584,-0.004285,-0.003431
-0.299561,-0.006045,-0.023838
-0.300293,-0.005981,-0.005334
-0.290039,-0.007355,-0.021250
-0.296631,-0.007356,-0.007359
-0.295410,-0.008484,-0.019890
-0.291504,-0.008452,-0.008135
-0.299561,-0.009452,-0.019557
-0.298584,-0.009418,-0.009076
-0.304688,-0.010295,-0.019163
-0.300293,-0.010231,-0.009588
-0.314697,-0.011074,-0.019598
-0.282715,-0.010763,-0.007610
-0.242432,-0.011134,-0.014893
-0.295410,-0.011305,-0.013034
-0.296875,-0.011625,-0.014858
-0.272705,-0.011571,-0.011023
-0.292236,-0.011994,-0.016271
-0.274902,-0.011809,-0.009935
-0.265625,-0.012084,-0.014865
-0.266602,-0.011938,-0.010467
-0.298096,-0.012421,-0.017304
-0.291992,-0.012251,-0.010533
-0.281738,-0.012568,-0.015772
-0.272705,-0.012354,-0.010191
-0.309814,-0.012917,-0.018609
-0.274414,-0.012453,-0.007763
-0.242920,-0.012664,-0.014799
-0.260254,-0.012420,-0.009956
-0.285645,-0.012801,-0.016648
-0.310791,-0.012803,-0.012822
-0.288574,-0.012938,-0.014304
-0.338379,-0.013343,-0.017437
-0.384766,-0.013831,-0.018761
-0.403076,-0.014314,-0.019204
-0.302002,-0.013899,-0.009704
-0.124512,-0.012862,-0.002375
-0.174805,-0.012926,-0.013571
-0.227051,-0.012490,-0.008085
-0.276855,-0.012946,-0.017560
-0.151611,-0.011571,0.002334
-0.080811,-0.011376,-0.009397
-0.200439,-0.011206,-0.009488
-0.132324,-0.010492,-0.003275
-0.044678,-0.009641,-0.001041
-0.113037,-0.009604,-0.009226
-0.257568,-0.010070,-0.014785
-0.226563,-0.009788,-0.006936
-0.166992,-0.009692,-0.008718
-0.171875,-0.009498,-0.007536
-0.285400,-0.010338,-0.018828
-0.220215,-0.009649,-0.002685
-0.135254,-0.009656,-0.009729
-0.111816,-0.008896,-0.001210
-0.240234,-0.009942,-0.020520
-0.202881,-0.009010,0.000414
-0.191650,-0.009785,-0.017625
-0.154541,-0.008713,0.002130
-0.185547,-0.009606,-0.018638
-0.077881,-0.007846,0.009951
-0.142334,-0.009108,-0.021866
-0.170166,-0.007876,0.004583
-0.199951,-0.009162,-0.022166
-0.196533,-0.008114,0.002483
-0.218506,-0.009357,-0.021925
-0.234619,-0.008619,-0.001164
-0.232422,-0.009631,-0.019859
-0.222412,-0.008939,-0.001946
-0.210693,-0.009682,-0.017192
-0.148926,-0.008609,0.002241
-0.162109,-0.009331,-0.016629
-0.181641,-0.008600,-0.001215
-0.133057,-0.008805,-0.010870
-0.103271,-0.007958,0.000597
-0.106445,-0.008153,-0.010123
-0.203857,-0.008242,-0.009135
-0.262207,-0.008876,-0.015286
-0.248779,-0.008840,-0.008480
-0.203369,-0.008997,-0.010586
-0.165039,-0.008657,-0.005220
-0.156982,-0.008722,-0.009378
-0.170898,-0.008553,-0.006847
-0.178467,-0.008668,-0.009832
-0.143799,-0.008248,-0.003995
-0.131348,-0.008242,-0.008186
-0.149902,-0.008044,-0.006042
-0.153564,-0.008069,-0.008322
-0.159424,-0.007953,-0.006775
-0.180908,-0.008147,-0.010117
-0.182129,-0.008061,-0.007185
-0.211182,-0.008458,-0.012468
-0.165771,-0.008018,-0.003574
-0.118164,-0.007961,-0.007383
-0.119385,-0.007607,-0.004027
-0.124512,-0.007601,-0.007542
-0.093506,-0.007057,-0.001552
-0.078125,-0.006927,-0.005619
-0.102539,-0.006674,-0.004116
-0.054688,-0.006179,-0.001177
-0.042725,-0.005873,-0.002774
-0.019287,-0.005273,0.000789
-0.011230,-0.004954,-0.001729
-0.012207,-0.004466,0.000474
-0.008057,-0.004168,-0.001157
0.025879,-0.003488,0.003382
0.015381,-0.003327,-0.001693
0.040283,-0.002562,0.005166
0.061523,-0.002257,0.000836
0.076172,-0.001505,0.006095
0.081299,-0.001210,0.001771
0.063721,-0.000730,0.004124
0.099609,-0.000195,0.005212
0.114502,0.000323,0.005562
0.153320,0.001080,0.008737
0.149170,0.001476,0.005474
0.128418,0.001935,0.006576
0.130127,0.002276,0.005727
0.166504,0.002951,0.009774
0.138184,0.003004,0.003543
0.099609,0.003250,0.005741
0.106201,0.003348,0.004334
0.130615,0.003750,0.007812
0.175049,0.004190,0.008646
0.150879,0.004327,0.005711
0.060791,0.003962,0.000274
-0.050049,0.003178,-0.004754
-0.186279,0.001772,-0.012439
-0.348877,-0.000194,-0.020079
-0.332764,-0.001228,-0.011677
-0.171631,-0.001551,-0.004821
-0.088379,-0.001733,-0.003567
-0.149170,-0.002493,-0.010179
-0.131104,-0.002497,-0.002536
-0.055176,-0.002511,-0.002658
0.007568,-0.002006,0.003100
-0.086670,-0.002782,-0.010621
-0.218018,-0.003427,-0.009956
-0.309082,-0.004807,-0.018757
-0.318359,-0.005417,-0.011583
-0.303955,-0.006443,-0.016815
-0.084717,-0.005172,0.007677
-0.112549,-0.006247,-0.017116
-0.295898,-0.006680,-0.011056
-0.038818,-0.005487,0.006567
0.292236,-0.003164,0.020325
0.221924,-0.002747,0.001477
-0.178955,-0.004070,-0.017450
-0.231934,-0.004153,-0.004994
0.144775,-0.002198,0.017575
0.144775,-0.002266,-0.002963
0.053467,-0.001387,0.007509
0.075439,-0.001266,-0.000043
-0.118896,-0.002111,-0.010661
-0.460205,-0.004776,-0.031717
-0.623535,-0.006799,-0.027256
-0.459473,-0.007677,-0.016550
