ax,low-pass,high-pass
-0.125000,-0.001013,-0.011250
-0.111572,-0.000904,0.000196
-0.108643,-0.001718,-0.009956
-0.140869,-0.001889,-0.003618
-0.137695,-0.002538,-0.009100
-0.114258,-0.002490,-0.002002
-0.118164,-0.003059,-0.008813
-0.139404,-0.003191,-0.004527
-0.166504,-0.003882,-0.010866
-0.154053,-0.003890,-0.003977
-0.146240,-0.004399,-0.009543
-0.126953,-0.004250,-0.002742
-0.125488,-0.004659,-0.008799
-0.130371,-0.004575,-0.003726
-0.130859,-0.004918,-0.008386
-0.134521,-0.004879,-0.004475
-0.135742,-0.005172,-0.008144
-0.123535,-0.005041,-0.003707
-0.112305,-0.005193,-0.006734
-0.135254,-0.005270,-0.006045
-0.133057,-0.005378,-0.006474
-0.120605,-0.005341,-0.004963
-0.091797,-0.005197,-0.003746
-0.088379,-0.005139,-0.004546
-0.096924,-0.005089,-0.004587
-0.124756,-0.005266,-0.007054
-0.133057,-0.005292,-0.005556
-0.135986,-0.005462,-0.007183
-0.139893,-0.005515,-0.006054
-0.165771,-0.005866,-0.009411
-0.215576,-0.006313,-0.010838
-0.255615,-0.006928,-0.013143
-0.270264,-0.007417,-0.012364
-0.279541,-0.008001,-0.013907
-0.252686,-0.008189,-0.010086
-0.221436,-0.008420,-0.010751
-0.195312,-0.008363,-0.007795
-0.185547,-0.008475,-0.009606
-0.182129,-0.008401,-0.007650
-0.179199,-0.008470,-0.009166
-0.190186,-0.008497,-0.008775
-0.182373,-0.008491,-0.008428
-0.183838,-0.008526,-0.008876
-0.178955,-0.008481,-0.008029
-0.187012,-0.008575,-0.009525
-0.197754,-0.008625,-0.009130
-0.192383,-0.008659,-0.009006
-0.197754,-0.008744,-0.009602
-0.191162,-0.008719,-0.008466
-0.180664,-0.008704,-0.008555
-0.175537,-0.008642,-0.008013
-0.168945,-0.008577,-0.007913
-0.195801,-0.008743,-0.010421
-0.190186,-0.008643,-0.007634
-0.183838,-0.008729,-0.009599
-0.189453,-0.008692,-0.008316
-0.194092,-0.008800,-0.009901
-0.188721,-0.008726,-0.007975
-0.170166,-0.008666,-0.008058
-0.178223,-0.008670,-0.008708
-0.195068,-0.008756,-0.009632
-0.188721,-0.008708,-0.008220
-0.181396,-0.008720,-0.008846
-0.170166,-0.008589,-0.007265
-0.187744,-0.008742,-0.010286
-0.189209,-0.008646,-0.007669
-0.190674,-0.008784,-0.010182
-0.190430,-0.008702,-0.007873
-0.195068,-0.008854,-0.010392
-0.201904,-0.008841,-0.008715
-0.215820,-0.009080,-0.011493
-0.210693,-0.009028,-0.008504
-0.198242,-0.009125,-0.010104
-0.174805,-0.008892,-0.006538
-0.154785,-0.008810,-0.007981
-0.178955,-0.008813,-0.008843
-0.207764,-0.008979,-0.010651
-0.182129,-0.008773,-0.006699
-0.140869,-0.008576,-0.006582
-0.133057,-0.008343,-0.005985
-0.138916,-0.008227,-0.007056
-0.138184,-0.008028,-0.006016
-0.160156,-0.008110,-0.008940
-0.140137,-0.007783,-0.004477
-0.086670,-0.007418,-0.003726
-0.043213,-0.006795,-0.000498
-0.013672,-0.006254,-0.000777
0.079590,-0.004983,0.007870
0.146973,-0.003988,0.006066
0.218750,-0.002354,0.014168
0.289062,-0.000961,0.013123
0.413086,0.001397,0.025236
0.367920,0.002184,0.010148
0.259766,0.003261,0.014144
0.375732,0.004852,0.020945
0.290771,0.005055,0.007110
